region,subregion,station,abbreviation,elevation,month,precip,avg precip,pct of avg,year
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Grass Valley,GSV,2400,Oct-Sep,25.92,53.72,48.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Englebright (Usace),ENG,551,Oct-Sep,20.33,33.35,61.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Caples (Twin) Lake,CPT,8000,Oct-Sep,20.9,48.26,43.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Sly Park,SLP,3530,Oct-Sep,24.07,48.99,49.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Pacific House (Obs.),PCF,3400,Oct-Sep,25.3,50.24,50.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Foresthill R S,FRH,3015,Oct-Sep,22.42,50.82,44.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Georgetown RS (USFS),GRG,3001,Oct-Sep,25.85,53.16,49.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Colfax,CLF,2400,Oct-Sep,24.08,47.04,51.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Placerville,PCV,1850,Oct-Sep,17.8,38.12,47.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Auburn,AUB,1292,Oct-Sep,20.02,34.71,58.0,1987
SACRAMENTO RIVER,AMERICAN RIVER,Folsom Dam,FLD,350,Oct-Sep,14.77,23.46,63.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Panoche 2w,PNH,1320,Oct-Sep,6.47,8.6,75.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Madera,MDR,270,Oct-Sep,8.18,12.45,66.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Merced,MFS,153,Oct-Sep,9.44,11.92,79.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Tracy Carbona,TCR,140,Oct-Sep,4.85,9.66,50.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Los Banos,LSB,120,Oct-Sep,7.65,8.99,85.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Modesto Irrig District Office,MDE,91,Oct-Sep,8.43,11.99,70.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN VALLEY FLOOR,Stockton Fire Station 4,STK,12,Oct-Sep,13.2,15.67,84.0,1987
SAN JOAQUIN RIVER,COSUMNES - MOKELUMNE RIVERS,West Point,WPT,2775,Oct-Sep,16.96,36.45,47.0,1987
SAN JOAQUIN RIVER,COSUMNES - MOKELUMNE RIVERS,Fiddletown,FDD,2160,Oct-Sep,17.58,34.83,50.0,1987
SAN JOAQUIN RIVER,COSUMNES - MOKELUMNE RIVERS,Camp Pardee,CPD,658,Oct-Sep,12.39,20.77,60.0,1987
SAN JOAQUIN RIVER,CALAVERAS - STANISLAUS RIVERS,Calaveras Big Trees,CVT,4695,Oct-Sep,27.03,53.68,50.0,1987
SAN JOAQUIN RIVER,CALAVERAS - STANISLAUS RIVERS,San Andreas,SDR,54,Oct-Sep,16.72,26.79,62.0,1987
SAN JOAQUIN RIVER,TUOLUMNE RIVER,Cherry Valley Dam,CVD,4765,Oct-Sep,21.18,50.78,42.0,1987
SAN JOAQUIN RIVER,TUOLUMNE RIVER,Hetch Hetchy,HTH,3870,Oct-Sep,15.82,34.7,46.0,1987
SAN JOAQUIN RIVER,TUOLUMNE RIVER,Groveland R S,GVL,3145,Oct-Sep,19.22,36.5,53.0,1987
SAN JOAQUIN RIVER,TUOLUMNE RIVER,Sonora RS,SOR,1749,Oct-Sep,16.8,31.75,53.0,1987
SAN JOAQUIN RIVER,TUOLUMNE RIVER,Moccasin,MCN,938,Oct-Sep,15.68,25.83,61.0,1987
SAN JOAQUIN RIVER,MERCED - FRESNO RIVERS,South Entrance Yosemite,SEY,5120,Oct-Sep,17.39,44.15,39.0,1987
SAN JOAQUIN RIVER,MERCED - FRESNO RIVERS,Yosemite Headquarters,YSV,3966,Oct-Sep,17.9,36.76,49.0,1987
SAN JOAQUIN RIVER,MERCED - FRESNO RIVERS,Mariposa Ranger Station,MRP,2250,Oct-Sep,16.23,29.64,55.0,1987
SAN JOAQUIN RIVER,MERCED - FRESNO RIVERS,New Exchequer-Lk Mcclure,EXC,879,Oct-Sep,9.73,18.88,52.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN RIVER,Florence Lake (Sce),FLR,7325,Oct-Sep,12.92,24.38,53.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN RIVER,Big Creek 1,BGC,4878,Oct-Sep,19.31,34.56,56.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN RIVER,Crane Valley PH,CRV,3400,Oct-Sep,20.35,40.07,51.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN RIVER,North Fork R S,NFR,2630,Oct-Sep,16.87,33.39,51.0,1987
SAN JOAQUIN RIVER,SAN JOAQUIN RIVER,Auberry 2 Nw,ABR,2090,Oct-Sep,15.19,24.05,63.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Tehachapi,THH,4017,Oct-Sep,9.15,11.11,82.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Coalinga,CLN,670,Oct-Sep,7.54,7.58,99.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Bakersfield,BFK,494,Oct-Sep,5.63,6.12,92.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Lindsay,LND,420,Oct-Sep,7.47,11.79,63.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Wasco,WSC,345,Oct-Sep,6.27,6.93,90.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Fresno Wb Ap,FRO,328,Oct-Sep,8.93,10.89,82.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Visalia,VSL,325,Oct-Sep,8.14,10.67,76.0,1987
TULARE LAKE,TULARE LAKE BASIN FLOOR,Hanford Refinery,HND,242,Oct-Sep,6.99,7.8,90.0,1987
TULARE LAKE,KINGS RIVER,Grant Grove,GRO,6600,Oct-Sep,22.48,43.63,52.0,1987
TULARE LAKE,KINGS RIVER,Pine Flat Dam,PNF,970,Oct-Sep,,19.08,,1987
TULARE LAKE,KAWEAH RIVER,Hockett Meadow (Usace),HCK,8500,Oct-Sep,24.6,36.2,68.0,1987
TULARE LAKE,KAWEAH RIVER,Bear Trap Meadow,BRM,6800,Oct-Sep,22.6,48.0,47.0,1987
TULARE LAKE,KAWEAH RIVER,Lodgepole,LDG,6735,Oct-Sep,25.59,44.53,57.0,1987
TULARE LAKE,KAWEAH RIVER,Giant Forest (Usace),GNF,6650,Oct-Sep,23.3,43.63,53.0,1987
TULARE LAKE,KAWEAH RIVER,Atwell Camp,ATW,6400,Oct-Sep,24.2,35.2,69.0,1987
TULARE LAKE,KAWEAH RIVER,Ash Mountain,ASM,1708,Oct-Sep,14.31,26.25,55.0,1987
